municipio,link_portal_transp,link_prefeitura,observacoes,fornecedor,tipo_fornecer,Fornecedor: Gestões Anteriores,,,,,,,,,,,
Matureia,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=Mtss,http://www.matureia.pb.gov.br/portal/,,Publicsoft,Único,N/A,,,,,,,,,,,
Mogeiro,http://transparencia.mogeiro.pb.gov.br/,http://mogeiro.pb.gov.br/,,Alfa Consultoria / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Montadas,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=MLIr,http://www.montadas.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Monte Horebe,http://transparencia.montehorebe.pb.gov.br/,http://montehorebe.pb.gov.br/,,RedeNet Soluções / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Monteiro,http://www.monteiro.pb.gov.br/portal-da-transparencia,http://www.monteiro.pb.gov.br/,,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Mulungu,http://mulungu.pb.gov.br/transparencia/,http://mulungu.pb.gov.br/,,Portal Próprio / e-TICons,Múltiplos,Elmar Tecnologia,,,,,,,,,,,
Natuba,http://transparencia.natuba.pb.gov.br/,http://natuba.pb.gov.br/,,Alfa Consultoria / Publicsoft,Múltiplos,Aspec Informática,,,,,,,,,,,
Nazarezinho,http://nazarezinho.pb.gov.br/transpar%C3%AAncia-p%C3%BAblica/portal-da-transpar%C3%AAncia.html,http://www.nazarezinho.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Nova Floresta,http://portaldatransparencia.lhsystem.com.br/PMNF/,http://www.novafloresta.pb.gov.br/,,LHSystem / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Nova Olinda,http://novaolinda.pb.gov.br/includes/transparencia/transparencia.php,http://www.novaolinda.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Nova Palmeira,http://transparencia.elmar.inf.br/?e=201129,http://www.novapalmeira.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Olho d'Água,http://olhodagua.pb.gov.br/assuntos/portal-da-transparencia,http://olhodagua.pb.gov.br/,,EasyWeb / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Olivedos,http://www.olivedos.pb.gov.br/transparencia/,http://olivedos.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Ouro Velho,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/views/views_control/index.php?cidade=O5w=&uf=PB,http://ourovelho.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Parari,http://transparenciaativa.com.br/?Entidade=63,http://parari.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Passagem,http://passagem.pb.gov.br/assuntos/portal-da-transparencia,http://passagem.pb.gov.br/,,EasyWeb / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Patos,http://patos.pb.gov.br/servicos/portal_da_transparencia,http://patos.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Paulista,http://paulista.pb.gov.br/assuntos/portal-da-transparencia,http://paulista.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Pedra Branca,http://pedrabranca.pb.gov.br/includes/transparencia/transparencia.php,http://www.pedrabranca.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Pedra Lavrada,http://portaldatransparencia.lhsystem.com.br/PMPL/,http://www.pedralavrada.pb.gov.br/,,LHSystem,Único,N/A,,,,,,,,,,,
Pedras de Fogo,http://www.pedrasdefogo.pb.gov.br/acesso-a-informacao/portal-da-transparencia/,http://www.pedrasdefogo.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Pedro Régis,http://transparencia.pedroregis.pb.gov.br/,http://www.pedroregis.pb.gov.br/,,Alfa Consultoria / Publicsoft / Elmar Tecnologia,Múltiplos,Aspec Informática,,,,,,,,,,,
Piancó,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=Mtx0,http://www.pianco.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Picuí,http://www.picui.pb.gov.br/portal-da-transparencia,http://www.picui.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Pilar,http://www.pilar.pb.gov.br/transparencia/,http://www.pilar.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Pilões,http://www.piloes.pb.gov.br/transparencia/,http://www.piloes.pb.gov.br/,,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Pilõezinhos,http://transparencia.piloezinhos.pb.gov.br/,http://www.piloezinhos.pb.gov.br/,Mudou empresa e só é possível acessar dados de 2017,Alfa Consultoria / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Pirpirituba,http://transparencia.pirpirituba.pb.gov.br/,http://www.pirpirituba.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Pitimbu,http://www.pitimbu.pb.gov.br/portal-da-transparencia,http://www.pitimbu.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Pocinhos,http://www.pocinhos.pb.gov.br/,http://www.pocinhos.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,****
Poço Dantas,http://www.pocodantas.pb.gov.br/portal-transparencia/,http://www.pocodantas.pb.gov.br/,,Newsites / Betha Sistemas,Múltiplos,N/A,,,,,,,,,,,
Poço de José de Moura,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=N9df,http://pocodejosedemoura.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Pombal,http://www.pombal.pb.gov.br/site/transparencia/prefeitura/,http://www.pombal.pb.gov.br/site/,,Publicsoft,Único,N/A,,,,,,,,,,,
Prata,http://siteseticons.com.br/portal/ws/empresa/MDkwNzQxMTMwMDAxMDY=,http://prata.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Princesa Isabel,http://www.princesa.pb.gov.br/portal-da-transparencia,http://www.princesa.pb.gov.br/,,Portal Próprio / Elmar Tecnologia ,Múltiplos,N/A,,,,,,,,,,,
Puxinanã,http://www.puxinana.pb.gov.br/portal-da-transparencia,http://www.puxinana.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Queimadas,http://www.queimadas.pb.gov.br/portal-da-transparencia,http://www.queimadas.pb.gov.br/,,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
