municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,mean_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Conceição,Dfs,2019-11-25T19:29:47Z,61,40,9,4,0.8163265306122449,0.9090909090909091,0.8602150537634408,27,1620275,41146359,686,22,58.21311475409836,136,3551,EasyWeb / e-TICons,all_itens
Conceição,Dfs,2019-11-30T04:25:25Z,61,43,6,4,0.8775510204081632,0.9148936170212766,0.8958333333333333,37,2207139,39406601,657,22,32.704918032786885,136,1995,EasyWeb / e-TICons,all_itens
Conceição,Dfs,2019-12-05T01:51:14Z,61,40,9,4,0.8163265306122449,0.9090909090909091,0.8602150537634408,34,2053361,39477927,658,33,40.967213114754095,136,2499,EasyWeb / e-TICons,all_itens
Conceição,Dfs,2019-12-10T06:48:52Z,61,40,9,4,0.8163265306122449,0.9090909090909091,0.8602150537634408,48,2889216,47608945,793,33,44.114754098360656,136,2691,EasyWeb / e-TICons,all_itens
Conceição,Epsilon-greedy,2019-11-21T16:57:54Z,61,42,7,4,0.8571428571428571,0.9130434782608695,0.8842105263157894,45,2683545,32317487,539,32,72.37704918032787,208,4415,EasyWeb / e-TICons,all_itens
Conceição,Epsilon-greedy,2019-11-29T03:01:50Z,61,23,5,4,0.8214285714285714,0.8518518518518519,0.8363636363636364,49,2927896,9132144,152,31,36.967213114754095,78,2255,EasyWeb / e-TICons,all_itens
Conceição,Epsilon-greedy,2019-12-04T06:44:47Z,61,41,7,4,0.8541666666666666,0.9111111111111111,0.8817204301075269,31,1857222,8182712,136,37,36.16393442622951,81,2206,EasyWeb / e-TICons,all_itens
Coremas,Bfs,2019-11-19T20:49:52Z,61,50,10,1,0.8333333333333334,0.9803921568627451,0.9009009009009009,59,3567791,4853311,81,43,36.67213114754098,53,2237,e-TICons,all_itens
Coremas,Bfs,2019-11-28T04:02:20Z,61,50,10,1,0.8333333333333334,0.9803921568627451,0.9009009009009009,16,989764,3152038,53,33,38.868852459016395,87,2371,e-TICons,all_itens
Coremas,Bfs,2019-12-10T20:04:18Z,61,50,10,1,0.8333333333333334,0.9803921568627451,0.9009009009009009,23,1409341,4562378,76,34,39.26229508196721,87,2395,e-TICons,all_itens
Coremas,Dfs,2019-11-26T15:24:07Z,61,47,13,1,0.7833333333333333,0.9791666666666666,0.8703703703703703,43,2564298,7892950,132,39,46.01639344262295,103,2807,e-TICons,all_itens
